errata_header,errata_text,question,answer,applies_to
"Kauyon Detachment, Photon Grenades Stratagem, When Section","Change to: | 'Your opponent's charge phase, just after an enemy unit has selected its **charge target**.'",,,stratagem
"Company of Hunters Detachment, Masters of Manoeuvre Detachment Rule",Change to: | ‘**ADEPTUS ASTARTES** units from your army are eligible to shoot in a turn in which they Advanced or Fell Back. **ADEPTUS ASTARTES MOUNTED** units from your army are eligible to shoot and declare a charge in a turn in which they Advanced or Fell Back.’,,,detachment
"Skitarii Marshal, Core Abilities section","Remove 'Leader', add 'Support'.",,,datasheet: Skitarii Marshal
"Agile Manoeuvres, Star Engines","Change to: | ‘**TRIGGER**: When an eligible **VEHICLE** unit from your army is selected to make an Advance move.’ | ‘**EFFECT**: Until the end of the turn, ranged weapons equipped by this unit have the **[ASSAULT]** ability.’",,,army rule: Battle Focus
"Blazing Ire Stratagem, CP Cost",Change to ‘2CP’.,,,stratagem
"Auric Champions Detachment, Shoulder the Mantle Stratagem","Change to: | '**WHEN**: Your Movement phase, before the Reinforcements step. | **TARGET**: One **ADEPTUS CUSTODES CHARACTER** model from your army that is not leading a unit. | **EFFECT**: Select one friendly unit (excluding Battle-shocked and Attached units) within 2"" horizontally and 5"" vertically of your model that it could lead (as described in the Leader section of its datasheet). Your model attaches to that unit as a Leader. Change that unit’s Starting Strength accordingly.'",,,stratagem
IMPERIAL ARMOUR - Ares Gunship Abilities,The following unit loses the Hover core ability: | Ares Gunship.,,,datasheet: Ares Gunship
"Vindication Task Force Detachment, Purge and Sanctify Detachment Rule","Change the second bullet point to: | 'Each time a friendly **CRUSADER SQUAD** unit makes a surge move, instead of selecting a surge target, you can can select the closest objective to that unit. When that unit makes that surge move, each model in that unit must end that surge move as close as possible to that objective instead.'",,,detachment
"Saga of the Beastslayer Detachment, Impetuosity Stratagem, Effect Section","Change to: | 'Your unit can make a **surge move** of up to D6"".'",,,stratagem
Tank Shock Stratagem,The Tank Shock Stratagem is the same as the Crushing Impact stratagem.,,,stratagem
"Saga of the Beastslayer Detachment, Thunderous Pursuit Stratagem, Target Section","Change 9"" to 8"".",,,stratagem
"Orbital Assault Force, Suppression Strafing, Effect Section","Change to: | ‘Select one enemy unit visible to and within 18"" of your unit. That enemy unit takes a Battle‑shock test. When doing so, subtract 1 from that test and, if that test is failed, until the start of your next turn, that enemy unit is suppressed. While a unit is suppressed, each time a model in that unit makes an attack, subtract 1 from the Hit roll.",,,stratagem
"Chaos Land Raider, Chaos Predator Annihilator, Chaos Predator Destructor, Chaos Rhino, Miasmic Malignifier, Plagueburst Crawler – Keywords section",Add 'FRAME'.,,,datasheet: Chaos Land Raider; datasheet: Chaos Predator Annihilator; datasheet: Chaos Predator Destructor; datasheet: Chaos Rhino; datasheet: Miasmic Malignifier; datasheet: Plagueburst Crawler
"Watch Master, Watch Master Ability","Change to: | Rites of Battle: Once per battle round, one unit from your army with this ability can use it when its unit is targeted with a Stratagem. If it does, reduce the CP cost of that use of that Stratagem by 1CP.",,,datasheet: Watch Master
"Mercurial Host Detachment, Dark Vigour Stratagem, Target Section","Change 9"" to 8"".",,,stratagem
Ta'unar Supremacy Armour,Remove '**Super-heavy Walker**' ability from abilities section | Add '**Super-heavy Walker**' to Core abilities section.,,,datasheet: Ta’unar Supremacy Armour
Baal Predator – Keywords section,Add 'FRAME'.,,,datasheet: Baal Predator
,,"If I am using the Veterans of the Long War Detachment, can I select a unit embarked within a **TRANSPORT** to be my focus of hatred?",Yes.,detachment
Stormraven Gunship,"■ **Profile**: Change **M** to 14"". | ■ **Keywords**: Remove '**AIRCRAFT**'.",,,datasheet: Stormraven Gunship
"Army Rule, Cabal of Sorcerers","Change first paragraph to: | ‘If your Army Faction is **THOUSAND SONS**, at the start of your Shooting phase, one or more models from your army with this ability can attempt Rituals from those listed on the right. To do so, select one model from your army with this ability that has not yet attempted a Ritual this turn and select one Ritual no model from your army has attempted to manifest this turn, then take a Psychic test for that model by following the sequence below.’ | **Destiny’s Ruin (Psychic)** | Change to: | ‘Select one enemy unit within 24” of and visible to the manifesting model. Until the end of the phase, each time a **THOUSAND SONS** or **SCINTILLATING LEGIONS** model from your army makes an attack that targets that unit, re-roll a Hit roll of 1. If the Psychic test result for this Ritual was 10+, you can re-roll the Hit roll instead.’ | **Temporal Surge (Psychic)** | Change to: | ‘Select one friendly **THOUSAND SONS** or **SCINTILLATING LEGIONS** unit that is not within Engagement Range of one or more enemy units and is within 24” of and visible to the manifesting model. That unit can make a Normal move of up to D6”. If the Psychic test result for this Ritual was 10+, that unit can make a Normal move of up to 6” instead. In either case, until the end of the turn, that unit is not eligible to declare a charge.’ | **Twist of Fate (Psychic)** | Change to: | ‘Select one enemy unit within 24” of and visible to the manifesting model. Until the end of the phase, each time a **THOUSAND SONS** or **SCINTILLATING LEGIONS** model from your army makes an attack that targets that unit, improve the Armour Penetration characteristic of that attack by 1. If the Psychic test result for this Ritual was 12+, improve the Armour Penetration characteristic of that attack by 2 instead.’",,,army rule: Cabal of Sorcerers
"Daemonic Incursion Detachment, Warp Rifts Rule","Change 9"" to: 8""",,,detachment
"Berekh Stornbröw, Relentless Avalanche Ability","Change to: 'You can target this unit with the **Heroic Intervention stratagem**, regardless of any other uses of that **stratagem** this phase. If you do: | ▪ That use is -1 CP. | ▪ That use does not prevent any uses of that **stratagem** on other units this phase.'",,,datasheet: Berehk Stornbröw
"Order Xenos Alien Hunters Detachment, Rapid Tactical Relocation Stratagem, Effect Section","Change 9"" to 8"".",,,stratagem
"Valourstrike Lance Detachment, Full Tilt Stratagem, Target Section",Change to: | ‘One **IMPERIAL KNIGHTS** unit from your army that has not been selected to move this phase.’,,,stratagem
"Canoptek Court Detachment, Reactive Subroutines Stratagem, Target Section","Change 9"" to 8"".",,,stratagem
"Brood Brothers Auxilia Detachment, Integrated Tactics Detachment Rule, Brood Brothers Section","Change second paragraph to: | ‘A **GENESTEALER CULTS** model must be your **WARLORD**, and **ASTRA MILITARUM** models from your army lose the Voice of Command ability if they have it. You cannot include units with any of the following keywords in your army using this rule: **AIRCRAFT**; **COMMISSAR**; **EPIC HERO**; **MILITARUM TEMPESTUS**; **OGRYN**; **RATLING**; **TECH-PRIEST ENGINSEER**; **MINISTORUM PRIEST**.",,,detachment
"Gaunt’s Ghosts, Covert Stealth Team ability","Change to: | 'At the end of your opponent’s turn, if this unit is not within Engagement Range of one or more enemy units, you can remove this unit from the battlefield. In your next Movement phase, set it up anywhere on the battlefield that is more than 8"" horizontally away from all enemy models.",,,datasheet: Gaunt’s Ghosts
"Infernal Lance Detachment, Hellforged Construction Stratagem, Effect Section","Change to: | 'Until the attacking unit has finished making its attacks, each time an attack targets your unit, worsen the Armour Penetration characteristic of that attack by 1.’",,,stratagem
"Da Big Hunt Detachment, Da Hunt Is On Detachment Rule","Change first paragraph to: | ‘At the start of your Command phase, select one **MONSTER**, **VEHICLE** or **CHARACTER** unit from your opponent’s army. Until the start of your next Command phase, that enemy unit is your Prey:' | Change first bullet point to: | - When a friendly **BEAST SNAGGA** unit declares a charge, If your Prey is within 12"" of that unit, you can use this part of this ability. If you do: | - That **BEAST SNAGGA** unit can re-roll that **charge roll**. | - That **BEAST SNAGGA** unit must end that **charge move** **engaged** with your Prey.",,,detachment
"Skysplinter Assault Detachment, Wraithlike Retreat Stratagem, Effect Section",Add: 'Your unit can embark within that **TRANSPORT** in a turn it disembarked from that **TRANSPORT**.',,,stratagem
"The Swarmlord, Abilities, Malign Presence","Change to: | ‘**Lord of Deceit (Aura)**: If this model is your **WARLORD**, each time your opponent targets a unit from their army with a Stratagem, if that unit is within 12"" of this model, increase the cost of that use of that Stratagem by 1CP. | ***Designer’s Note**: This ability takes precedence over the Lord of Deceit ability presented in the Balance Dataslate June 2024*.’",,,datasheet: The Swarmlord
**Summoned by Slaughter Stratagem**,"Change to: | ‘**WHEN:** Any phase, when the last model in a unit is destroyed, before removing it from play. (If that unit is a **TRANSPORT**, any units embarked within that **TRANSPORT** model must disembark first.) | **TARGET:** One **BLOODLETTERS** unit from your army that is in Reserves. | **EFFECT:** Set your unit up anywhere on the battlefield wholly within 9"" of that destroyed model and more than 6"" horizontally away from all enemy units, then remove the destroyed model from play. | **RESTRICTIONS:** You cannot use this Stratagem more than once per battle round.’",,,stratagem
"Mont'ka Detachment, Killing Blow Detachment rule","Change to: | 'During the first, second and third battle rounds, ranged weapons equipped by **T'AU EMPIRE** models from your army have the **[ASSAULT]** ability. During the first, second and third battle rounds, while a unit is a Guided unit (see For the Greater Good), its ranged weapons have the **[LETHAL HITS]** ability.'",,,detachment
Company of Hunters - Keywords Section,Change to: | '**OUTRIDER SQUAD** units from your army gain the **BATTLELINE** keyword.’,,,detachment
"Technoarcheologist, Core Abilities section","Remove 'Leader', add 'Support'.",,,datasheet: Technoarcheologist
"Aspect Host Detachment, Skyborne Sanctuary Stratagem, Target and Effect Sections","Change to: | ‘**TARGET**: One unengaged **ASURYANI** unit from your army that was eligible to fight this phase, and one friendly TRANSPORT it is able to embark within.‘ | ‘**EFFECT**: If your **ASURYANI** unit is wholly within 6” of that **TRANSPORT**, it can embark within it.’",,,detachment
"Cleansing Flames Stratagem, CP Cost",Change to ‘2CP’.,,,stratagem
"Shield Host Detachment, Martial Mastery Detachment Rule","Change first paragraph to: | 'At the start of the battle round, you can select one of the bullet points below. If you do, until the start of the next battle round, that bullet point’s effects apply.'",,,detachment
IMPERIAL ARMOUR - Ares Gunship,"The following unit has M and OC of ""-"": | Ares Gunship.",,,datasheet: Ares Gunship
"Castellan, Crusade Ancient – Core Abilities section","Remove 'Leader', add 'Support'.",,,datasheet: Castellan; datasheet: Crusade Ancient
Grenades Stratagem,The Grenade Stratagem is the same as the Explosives stratagem.,,,stratagem
"Fenrisian Wolves, Predatory Instinct Ability","Change to: | 'In your opponent's Movement phase, if an enemy unit ends a move within 8” of this unit, if this unit is not within Engagement Range of one or more enemy units, this unit can make a Normal move of up to D6”.'",,,datasheet: Fenrisian Wolves
"Reclamation Force Detachment, Scroll of Proclamation Enhancement","**ADEPTUS ASTARTES** model only. When this unit **declares a charge**, if an enemy unit within range of an **objective** is within 12"" of this unit, you can use this **enhancement**. If you do: | • This unit can re-roll that **charge roll**. | • This unit must end that **charge move engaged** with one or more of those enemy units.",,,enhancement
,,"Can I use the Opportunistic Raiders Stratagem to Fall Back with a unit of Warp Talons, then use that unit’s Warp Strike ability to place it into Strategic Reserves?","If that Warp Talons unit destroyed one or more units this phase, yes otherwise, no.",stratagem
"Peerless Bladesment Detachment, Faultless Opportunist Enhancement","Change to: | 'You can target this unit with the **Heroic Intervention stratagem**, regardless of any other uses of that **stratagem** this phase. If you do: | ▪ That use is -1 CP. | ▪ That use does not prevent any uses of that **stratagem** on other units this phase.'",,,enhancement
Sanguinary Priest – Core Abilities section,"Remove 'Leader', add 'Support'.",,,datasheet: Sanguinary Priest
"Typhus, Eater Plague Ability","Change to: | ‘In your Shooting phase, you can select one enemy unit within 18” of and visible to this **PSYKER** (excluding units with the Lone Operative ability that are not part of an Attached unit and are not within 12” of this **PSYKER**) and roll one D6: on a 1, this **PSYKER**’s unit suffers D3 mortal wounds; on a 2-5, that enemy unit suffers D6 mortal wounds; on a 6, that enemy unit suffers D3+3 mortal wounds.’",,,datasheet: Typhus
"Brotherhood Chaplain, Abilities, Core Abilities",Add ‘Leader’.,,,datasheet: Brotherhood Chaplain
"Grand Coven Detachment, Incandaeum Enhancement","Change to: | ‘**EXALTED SORCERER** model only. Once per battle, when selecting a Ritual for the bearer to attempt, you can select Doombolt, even if a model from your army have already attempted to manifest that Ritual this phase.",,,enhancement
"Shadow Legion Detachment, Shadow's Caress Rule",Change to: | '**SHADOW LEGION SLAANESH** units only. Enemy units cannot target this unit with snap shooting attacks.',,,detachment
"Recon Element Detachment, Masters of Camouflage Detachment Rule","Change to: | ‘**ASTRA MILITARUM WALKER** and **REGIMENT** models from your army have the Benefit of Cover. While such a model has the Benefit of Cover for any other reason, improve the Save characteristic of that model by 1 (to a maximum of 3+).’",,,detachment
"Hypercrypt Legion Detachment, Hyperphasing Detachment Rule, Battle Size Table",Change to: | ‘**Incursion**: Up to 1 unit | **Strike Force**: Up to 2 units | **Onslaught**: Up to 3 units’,,,detachment
"Hekaton Land Fortress, Sagitaur – Keywords Section",Add 'FRAME'.,,,datasheet: Hekaton Land Fortress; datasheet: Sagitaur
Harridan,"The following units lose the **AIRCRAFT** keyword. | Harridan | The following unit has **M** 14"": | Harridan",,,datasheet: Harridan
"Brood Brothers Auxilia Detachment, Adaptive Reprisal Enhancement","Change to: | '**GENESTEALER CULTS INFANTRY** model only. When you target this unit with the Heroic Intervention stratagem, that use is -1 CP.'",,,enhancement
"Canis Rex, Knight Castellan, Knight Crusader, Knight Defender, Knight Errant, Knight Gallant, Knight Paladin, Knight Preceptor, Knight Valiant, Knight Warden – Profiles",Change **OC** characteristic to ‘10’.,,,datasheet: Canis Rex; datasheet: Knight Castellan; datasheet: Knight Crusader; datasheet: Knight Defender; datasheet: Knight Errant; datasheet: Knight Gallant; datasheet: Knight Paladin; datasheet: Knight Preceptor; datasheet: Knight Valiant; datasheet: Knight Warden
Brazen Fury Detachment Rule,"Change to: | 'In your opponent’s Shooting phase, when an enemy unit has shot, if a model in this unit was **destroyed** as a result of those attacks, this unit can make a **surge move** of up to D6”. That **surge move** is a **Brazen Fury move.**'",,,detachment
"Houndpack Lance Detachment, Animalistic Rage Stratagem, When Section","Change to: | ‘Your opponent’s Shooting phase or the Fight phase, just after a WAR DOG unit from your army that has not been selected to attack this phase is destroyed.’",,,stratagem
"Da Big Hunt Detachment, Dat One's Even Bigga! Stratagem, Effect section","Change to: | 'Until the end of the phase, your unit is eligible to charge in a turn in which it Advanced or Fell Back. In addition, you can re-roll **charge rolls** made for your unit. If you do, your unit must end that **charge move** engaged with your Prey.'",,,stratagem
"Skysplinter Assault Detachment, Swooping Mockery Stratagem, Target Section","Change 9"" to 8"".",,,stratagem
Doctrina Imperatives,"Change Protector Imperative to: | ■ Ranged weapons equipped by models in this unit have the **[HEAVY]** ability | ■ Improve the Ballistic Skill characteristic of ranged weapons equipped by models in this unit by 1. | ■ Each time a melee attack targets this unit, if this unit has the **BATTLELINE** keyword and/or it is within 6"" of one or more friendly **ADEPTUS** **MECHANICUS BATTLELINE** units, subtract 1 from the Hit roll.' | Change Conqueror Imperative to: | '■ Ranged weapons equipped by models in this unit have the **[ASSAULT]** ability. | ■ Improve the Weapon Skill characteristic of melee weapons equipped by models in this unit by 1. | ■ Each time a model in this unit makes an attack, if this unit has the **BATTLELINE** keyword and/or it is within 6"" of one or more friendly **ADEPTUS MECHANICUS BATTLELINE** units, improve the Armour Penetration characteristic of that attack by 1.'",,,army rule: Doctrina Imperatives
"Devoted of Ynnead Detachment, Strength from Death Detachment Rule","■ Change Lethal Intent to: | 'At the end of your opponent’s Shooting phase, if one or more **YNNARI** units from your army were destroyed this phase, select one **YNNARI INFANTRY** or **YNNARI MOUNTED** unit from your army that was within 6"" of your destroyed unit. That unit can make a normal move of up to D6+1.' | ■ Change Lethal Surge to: | 'Once per turn, when a **YNNARI** unit from your army performs the Fade Back Agile Manouvre, it can make a surge move of up to D6+1"" instead of a normal move.'",,,detachment
"Rites of Fire Stratagem, Effect Section","Change to: | ‘Until the end of the phase, each time a model in your unit makes a ranged attack that targets an enemy unit within 6"" that is also within range of an objective marker, add 1 to the Wound roll. If one or more enemy models are destroyed as the result of those attacks, select one of those destroyed models; that destroyed model’s unit must take a Battle‑shock test.'",,,stratagem
"Shield Host Detachment, Castellan’s Mark Enhancement","Change to: | '**SHIELD-CAPTAIN** model only. After both players have deployed their armies, you can select up to two **ADEPTUS CUSTODES** units from your army (excluding **ANATHEMA PSYKANA** units) and redeploy all of those units. When doing so, any of those units can be placed into Strategic Reserves, regardless of how many units are already in Strategic Reserves.'",,,enhancement
"Crusader Squad, Righteous Zeal Ability","Change to: | 'In your opponent's Shooting phase, each time an enemy unit has shot, if any models in this unit were destroyed as a result of those attacks, this unit can make a surge move of up to D6+2"".'",,,datasheet: Crusader Squad
"Compant of Hunters Detachment, Mounted Strategist Enhancement",Change to: | ‘**RAVENWING** model only. You can re-roll Advance and Charge rolls made for the bearer’s unit.’,,,enhancement
"Ministorum Priest, Core Abilities section","Remove 'Leader', add 'Support'.",,,datasheet: Ministorum Priest
"Mont'ka Detachment, Coordinated Exploitation Enhancement","Change to: | '**T'AU EMPIRE** model only (excluding **KROOT SHAPER** models). While the bearer is leading a unit, each time that unit is an Observer unit, until the end of the phase, ranged weapons equipped by models in a Guided unit have the **[SUSTAINED HITS 1]** ability while targeting their Spotted unit.'",,,enhancement
"Inner Circle Task Force Detachment, Vowed Target Detachment Rule","Change to: | ‘At the start of your Movement phase, select one of the following: | ■ **Defensive Footing**: Select one **objective** you control. Until the start of your next Movement phase, that objective is your **Vowed** **objective**. | ■ **Aggressive Push**: Select one or more **objective** you do not control. Until the start of your next Movement phase, each of those **objectives** is one of your **Vowed objectives**. If a rule refers to a unit or model being within range of your **Vowed objective**, that rule takes effect if that unit or model is within range of one or more of your **Vowed objectives**. Each time a **DEATHWING INFANTRY** unit from your army makes an attack that targets a unit within range of one or more of your **Vowed objectives**, add 1 to the Wound roll.’",,,detachment
"Mont'ka Detachment, Strike Swiftly Enhancement, Second Sentence","Change to: | 'In the Resolve Pre-battle Abilities step, you can select up to two friendly **T'AU EMPIRE** units within 6"" of this model that do not have the Scouts ability.'",,,enhancement
Logan Grimnar,"■ **High King of Fenris Ability** – Change to: | 'Once per battle round, in your Movement phase, you can select one friendly **SPACE WOLVES** unit that is in Strategic Reserves. If you do, until the end of the phase, for the purpose of setting up that unit on the battlefield, treat the current battle round number as being one higher than it actually is.' | ■ **Guile of the Wolf Ability** – Change to: | 'Once per turn, when your opponent targets a unit from their army within 12” of this model with a **stratagem**, you can use this ability. If you do increase the CP cost of that use of that **stratagem** by 1CP.'",,,datasheet: Logan Grimnar
,,Can my **CHARACTER** with the Soul Link Enhancement use that Enhancement while it is in Reserves/Strategic Reserves?,Yes.,enhancement
"Rapid Evisceration Detachment, Mechanised Murder Detachment Rule","Change to: | ‘Each time an **EMPEROR'S CHILDREN** model from your army makes an attack, if it is a **TRANSPORT** model or disembarked from a **TRANSPORT** this turn, re-roll a Hit roll of 1 and re-roll a Wound roll of 1.’",,,detachment
"Hekaton Land Fortress, Transport Section","Change to: | ‘This model has a transport capacity of 14 **LEAGUES OF VOTANN INFANTRY** models. Each **EXOARMOUR**, **EXOFRAME** or **IRONKIN STEELJACKS** model takes up the space of 2 models. It cannot transport **ARTILLERY** models.",,,datasheet: Hekaton Land Fortress
"Death Company Dreadnought, Driven By Fury ability","Change to: | 'In your opponent’s Shooting phase, when an enemy unit has shot, if this model lost a wound as a result of those attacks, this unit can make a **surge move** of up to D6+2"".'",,,datasheet: Death Company Dreadnought
"Blades of Ultramar Detachment, Practical Tactics Stratagem, Target Section","Change 9"" to: 8""",,,stratagem
"Chaos Predator Destructor, Predator Autocannon",Change Strength to ‘9’.,,,datasheet: Chaos Predator Destructor
"Changehost of Deceit Detachment, Ethereal Phantasm Stratagem, Target Section","Change 9"" to 8"".",,,stratagem
"Brotherhood Techmarine, Guardians of the Machine Ability","Change to: | 'Each time an enemy unit ends a charge move engaged with one or more friendly **GREY KNIGHTS VEHICLE** units and within 6"" of this unit, you can target this unit with the **Heroic Intervention stratagem**, regardless of any other uses of that **stratagem** this phase. If you do: | ▪ That use is -1 CP. | ▪ That use does not prevent any uses of that **stratagem** on other units this phase.'",,,datasheet: Brotherhood Techmarine
"Corvus Blackstar, Imperial Rhino, Inquisitorial Chimera and Sisters of Battle Immolator – Keywords Section",Add 'FRAME'.,,,datasheet: Corvus Blackstar; datasheet: Imperial Rhino; datasheet: Inquisitorial Chimera; datasheet: Sisters of Battle Immolator
"Recon Element Detachment, Tanglefoot Grenades Stratagem, Effect Section","Change to: | 'Select one **visible** enemy unit within 12"" of your unit. When that enemy unit **declares a charge**, that enemy unit has -1 to **charge rolls**.",,,stratagem
"Feculent Gnarlmaw, Screamers, Skull Altar - Keywords section",Add 'FRAME'.,,,datasheet: Feculent Gnarlmaw; datasheet: Screamers; datasheet: Skull Altar
"**Warp Stalkers Stratagem, Effect section**","Change to: | ‘**EFFECT**: Until the end of the phase, each time a model in your unit makes a Normal, Advance, Fall Back or Charge move, it can move through enemy models (excluding **MONSTERS** and **VEHICLES**). When doing so, it can move within Engagement Range of such models but, unless that move was a Charge move, it cannot end that move within Engagement Range of them, and any Desperate Escape test is automatically passed.’",,,stratagem
"Hypercrypt Legion Detachment, Cosmic Precision Stratagem, Target Section",Change to: | ‘One **NECRONS** unit from your army (excluding **MONSTER** units) that is arriving using the Deep Strike or Hyperphasing abilities this phase.’,,,stratagem
The following units have the **FRAME** keyword:,"Harridan, Hierophant, Toxicrene, Tyrannocyte and Tyrannofex.",,,datasheet: Harridan; datasheet: Hierophant; datasheet: Toxicrene; datasheet: Tyrannocyte; datasheet: Tyrannofex
"Brood Brothers Auxilia Detachment, In the Shadow of Iron Stratagem, Effect Section","Change 9"" to 8"".",,,stratagem
"Canis Rex, Knight Crusader, Knight Defender, Knight Errant, Knight Gallant, Knight Paladin, Knight Preceptor, Knight Warden – Damaged Section","Change to: | ‘While this model has 1‑9 wounds remaining, subtract 5 from this model’s Objective Control characteristic and each time this model makes an attack, subtract 1 from the Hit roll.’",,,datasheet: Canis Rex; datasheet: Knight Crusader; datasheet: Knight Defender; datasheet: Knight Errant; datasheet: Knight Gallant; datasheet: Knight Paladin; datasheet: Knight Preceptor; datasheet: Knight Warden
"Cohort Cybernetica Detachment, Cyber-psalm Programming Detachment Rule","Change to: | ‘Add 2"" to the Move characteristic of models in LEGIO CYBERNETICA units from your army. In addition, unless that unit is Battle‑shocked, add 1 to the Objective Control characteristic of models in that unit.’",,,detachment
"Ghosts of the Webway Detachment, Tricksters' Retort Stratagem, Target Section","Change 9"" to 8"".",,,stratagem
"Hallowed Martyrs Detachment, Divine Intervention Stratagem, Effect section","Change to: | 'You can discard 1-3 Miracle dice. At the end of the phase, set the last destroyed model from your unit back up on the battlefield, as close as possible to where it was destroyed and not within Engagement Range of any enemy models. Roll one D3, adding 1 to the result for each Miracle dice you discarded. That model is set back up with that number of wounds remaining (up to its starting number of wounds).'",,,stratagem
"Talons of the Emperor Detachment, Taloned Pincer Stratagem, Target Section","Change 9"" to 8"".",,,stratagem
"Emperor's Champion, Sigismund's Heir ability","Change to: | - When this unit declares a charge, If an enemy **CHARACTER** unit is within 12"" of this unit, you can use this part of this ability. If you do: | - This unit can re-roll that charge roll. | - This unit must end that charge move engaged with one or more of those enemy **CHARACTER** units. | - (Once per battle, per army) In the Fight phase, when this unit is selected to fight, if this unit is engaged with a **CHARACTER** unit, you can use this part of this ability. If you do, this unit's melee attacks have **[DEVASTATING WOUNDS]**.",,,datasheet: Emperor’s Champion
"Houndpack Lance Detachment, Harrying Hounds Stratagem, Target Section","Change 9"" to 8"".",,,stratagem
"Spectacle of Spite Detachment, A Challenge Met Stratagem","■ Remove Restrictions section. | ■ Change When, Target and Effect to: | '**WHEN**: Your opponent’s Movement phase, when an enemy unit ends a fall‑back move. | **TARGET**: One friendly unengaged **WYCH CULT** unit that is within 6"" of that enemy unit. | **EFFECT**: Declare a charge with your unit. When selecting charge targets, you can only select enemy units that made a fall‑back move this phase and are within the maximum distance.'",,,stratagem
"Dread Mob Detachment, Try Dat Button! Detachment Rule, Last Paragraph","Change to: | 'If a weapon equipped by a model from your army has the **[HAZARDOUS]** ability from multiple sources, each time you take a Hazardous test for that weapon, it is failed on a roll of 1-3.'",,,detachment
"Infernal Lance Detachment, Malefic Surge Detachment Rule","Change Unnatural Fortitude to: | ‘When this unit is selected as the target of an attack, select one of the following to apply until the end of the phase: | ■ Models in this unit have a 5+ invulnerable save. | ■ Models in this unit have the Feel No Pain 6+ ability.’",,,detachment
"Raider, Ravager, Razorwing Jetfighter, Venom and Voidraven Bomber – Keywords Section",Add 'FRAME'.,,,datasheet: Raider; datasheet: Ravager; datasheet: Razorwing Jetfighter; datasheet: Venom; datasheet: Voidraven Bomber
"Green Tide Detachment, Mob Mentality Detachment Rule","Change to: | ‘Each time an attack targets a **BOYZ** unit from your army, models in that unit have a 6+ invulnerable save against that attack. Each time an attack targets a **BOYZ** unit from your army that contains 10 or more models, models in that unit have a 5+ invulnerable save against that attack.'",,,detachment
"Reinforced Hive Node Stratagem, Effect Section","Change to: | 'Until the attacking unit has finished making its attacks, each time an attack targets your unit, worsen the Armour Penetration characteristic of that attack by 1.’",,,stratagem
"Inner Circle Task Force Detachment, Relic Teleportarium Stratagem, Effect Section","Change 3"" to 6"".",,,stratagem
"Firestorm Assault Force Detachment, Forged in Battle Enhancement","Change to: | '**ADEPTUS ASTARTES** model only. While the bearer is leading a unit, once per turn, after making a Hit roll or a saving throw for a model in that unit, you can change the result of that roll to an unmodified 6.’",,,enhancement
"Retaliation Cadre Detachment, Bonded Heroes Detachment Rule","Change to: | 'Each time a **T'AU EMPIRE BATTLESUIT** model from your army makes a ranged attack that targets a unit within 12"", improve the Strength characteristic of that attack by 1. If that attack targets a unit within 8"", improve the Armour Penetration characteristic of that attack by 1 as well.'",,,detachment
"Buri Aegnirssen, Unhinged Vengeance Ability","Change to: | 'In your opponent’s Shooting phase, when an enemy unit has shot, if this model lost one or more wounds as a result of those attacks, this unit can make a **surge move** of up to D6+2"".'",,,datasheet: Buri Aegnirssen
,,"For the Opportunistic Raiders Stratagem, is a unit that did not fight this phase an eligible target for that Stratagem, provided it was eligible to fight at one point during the phase?",Yes.,stratagem
"Iron Priest, Gift of the Iron Wolf Ability","Change to: | 'In your Command phase, you can select one friendly **ADEPTUS ASTARTES VEHICLE** model within 3"" of this model. That model regains up to D3 lost wounds and, until the start of your next Command phase, select one ranged weapon equipped by that model to have the **[RAPID FIRE 1]** ability. Each model can only be selected for this ability or the Blessing of the Omnissiah ability once per turn.'",,,datasheet: Iron Priest
"Rapid Evisceration Detachment, On to the Next Stratagem, When and Target Sections","Change to: | ‘**WHEN**: End of the Fight phase. | **TARGET**: One **EMPEROR'S CHILDREN** unit from your army that destroyed an enemy unit this phase, and one friendly **TRANSPORT** it is able to embark within.",,,stratagem
"Death Company Marines with Bolt Rifles, Visions of Heresy ability","Change to: | '■ This unit can re-roll charge rolls. | ■ When you target this unit with the Fire Overwatch/Heroic Intervention stratagem, that use is -1 CP.'",,,datasheet: Death Company Marines with Bolt Rifles
,,Does the Plagueburst Crawler’s Spore-laced Shock Waves ability inflict mortal wounds every turn to units affected by the ability?,No.,datasheet: Plagueburst Crawler
Corvus Blackstar,"■ **Profile**: Change **M** to 14"". | ■ **Keywords**: Remove '**AIRCRAFT**'.",,,datasheet: Corvus Blackstar
"Changehost of Deceit Detachment, Chronosorcerous Bleed Stratagem","Change to: | **WHEN**: Start of your opponent's Charge phase. | **TARGET**: One friendly unengaged **THOUSAND SONS PSYKER**/**SCINTILLATING LEGIONS** unit. | **EFFECT**: Select one visible enemy unit within 12"" of your unit. When that enemy unit declares a charge, that enemy unit has -1 to charge rolls.",,,stratagem
"Horticulous Slimux, Beast Handler Ability","Change to: | 'While this model is leading a unit, you can re-roll charge rolls made for that unit. In addition, once per battle, you can target this unit with the Heroic Intervention stratagem, regardless of any other uses of that stratagem this phase. If you do: | ▪ That use is -1 CP. | ▪ That use does not prevent any uses of that stratagem on other units this phase.'",,,datasheet: Horticulous Slimux
Rapid Manifestation Stratagem,"Change 3"" to 6"".",,,stratagem
"Recon Element Detachment, Draw Them Out Stratagem, Target Section","Change 9"" to 8"".",,,stratagem
