section,container,subtitle,type,title,text
02. Datasheets,Weapons,02.04,accordion,02.04.01 - Weapons With No Strength,"If a weapon has no S characteristic (because it is '-', or for any other reason) and a rule interacts with that weapon's S, that weapon has S 1 for that interaction."
02. Datasheets,Keywords,02.05,text,,"Datasheets have a list of keywords, separated into faction keywords and other keywords. The former are used when deciding which models to include in your army, but otherwise both are functionally the same. Keywords appear in full capitals, in KEYWORD BOLD."
02. Datasheets,Keywords,02.05,accordion,02.05.01 - Using Keywords & Mixed Keywords in Units,"When using keywords, the following points apply: | - A unit has all the keywords of all models in that unit. A model only has its own keywords. | - If a rule specifies that it applies to a unit with a keyword, it applies to a unit which includes one or more models with that keyword. | - If a rule specifies that it applies to a model with a keyword, it only applies to a model with that keyword. | - If a rule specifies that it applies to ‘non-Keyword’ models/units, it only applies to models/units that do not have that keyword. For example, if a rule applies to non-Vehicle units, it only applies to units that do not have the Vehicle keyword. | - Some units can contain models that have different keywords. While this is the case, such a unit is considered to have all of the keywords of all of its models, and so is affected by any rule that applies to units with any of those keywords. Remember that attacks are made against units, not models. | - If a rule only applies to models with a specific keyword, then it instead only applies to models in such a unit that have the correct keyword. | - A rule with a comma-separated list of keywords, or a series of keywords separated by slashes ('/'), or two keywords separated by the word ‘or’ (e.g. ‘an Immortals, Deathmarks or Lychguard unit’) refers to a model/unit that has any one of those keywords. | - A rule with multiple adjacent keywords (e.g. ‘an Aeldari Guardians unit’) only refers to a model/unit that has all of those keywords. | - Some older rules use keywords without specifying model or unit: for example, MONSTER/VEHICLE or TRANSPORT. These rules refer to units with those keywords. | - Singular and plural instances of the same keyword function in the same way."
02. Datasheets,Unit Composition And Other Rules,02.06,text,,"This section details the number and types of models in the unit. Each of those models will have one set of default wargear, which will be listed here. It may also list other rules, such as which units a leader unit can join or which units can embark within a TRANSPORT."
02. Datasheets,Unit Composition And Other Rules,02.06,accordion,02.06.01 - Bearer,"The bearer of a weapon, enhancement or item of wargear is the model equipped with it."
02. Datasheets,Unit Composition And Other Rules,02.06,accordion,02.06.02 - Unit's Equipment,"When a rule refers to a unit’s equipment, it refers to all of the wargear equipped by models in that unit."
02. Datasheets,Wargear options,02.07,text,,"Some datasheets have a list of wargear options. When you include such a unit in your army, you can use these options to alter the weapons and other wargear its models have."
Introduction,Introduction,,text,,"Chapter Approved battles give you and an opponent a way to play exciting, thematic and balanced games of Warhammer 40,000. In these battles, you will clash to earn Victory Points (VP) by accomplishing a variety of goals. Whichever player gains the most VP wins the battle."
03. Moving,Moving,03.00,text,,"During a battle, you will move your models by picking them up and changing their position on the battlefield. The principles of movement are explained here."
03. Moving,Moving Units,03.01,text,,"There are several types of move a unit can make. Each one defines which units are eligible to make it, what its maximum distance or set-up distance is, and any conditions that must be met. | Each time you move a unit, you can move one or more of its models, one at a time, by moving it in a straight line and/or rotating it, as many times as you want to. | Each time you move a model, unless otherwise stated: | - It can be moved through friendly models. | - It can be moved through any space its base can fit through. | - Its base cannot be moved through enemy models. | - Its base cannot cross the edge of the battlefield. | - All stated ‘While Moving’ conditions must be met. | MOVING A MODEL IN A STRAIGHT LINE | Each time you move a model in a straight line, move it horizontally across the battlefield. Measure from the same point on its base at the start and end of that move, and add that distance to any other distance it has moved since its unit began that move. The distance moved cannot be greater than the maximum distance of that move type. | ROTATING A MODEL | Each time you rotate a model, turn it any amount around the centre of its base, while keeping it upright. Note that rotating a model does not count towards the distance it has moved. | ENDING A MOVE | After you have finished setting up all of the models in a unit and/or moving all of the models in a unit that you want to move, check that all of the following apply: | - If that unit is on the battlefield, it is in coherency (03.03). | - No models in that unit are on another model or partway through a surface of a terrain feature (e.g. a wall or ceiling). | - All stated ‘After Moving’ conditions are met. | If one or more of the above conditions are not met, that unit cannot make that move and its models are returned to their positions at the start of that move. Otherwise, after resolving any additional rules stated in the ‘After Moving’ section of that move type, that move ends."
03. Moving,Moving Units,03.01,accordion,03.01.01 - Different Move Characteristics,"When making a move type whose maximum distance uses the unit's M characteristic, if different models in the moving unit have different M characteristics, the maximum distance for that move will be different for those models. | Example: If a unit makes a normal move and all models in that unit have an M characteristic of 6"" except for one model with an M characteristic of 9"", that model’s maximum distance for that move is 9"", while the other models’ maximum distance is 6"". While that unit is making that move, all other restrictions must be met."
03. Moving,Moving Units,03.01,header,,Moving in a straight line
03. Moving,Moving Units,03.01,accordion,03.01.02 - Moving Over Or Through Models,"Some models have a rule that enables them to ‘move over models’, 'move through models' or ‘move over models as if they were not there’ when making a move. When moving a model with such a rule, it can make its move through enemy models, but must follow all other restrictions of the move they are making."
03. Moving,Moving Units,03.01,image,,-
03. Moving,Moving Units,03.01,accordion,03.01.03 - Random Movement,See Random Characteristics (02.02.03)
03. Moving,Moving Units,03.01,text,,"Both models shown here can move a ***maximum distance*** of 6"". They both move 3"" in a straight line, then 3"" in another straight line, for a total movement of 6""."
03. Moving,Moving Units,03.01,accordion,03.01.04 - When Moving Up To,"Some rules allow a unit to make a stated of up to X"". That stated distance is the maximum distance for that move."
03. Moving,Moving Units,03.01,header,,Rotating
03. Moving,Moving Units,03.01,image,,-
03. Moving,Moving Units,03.01,text,,"1. This model can move a ***maximum distance*** of 12"". It moves in a series of straight lines and rotations, as follows: | ***A)*** Moves 6"" in a straight line | ***B)*** Rotates | ***C)*** Moves 6"" in a straight line | ***D)*** Rotates | This model has moved a total of 12"". | 2. Models without a base are rotated around their central axis (see Frame, 17.02)."
03. Moving,Set Up,03.02,text,,"Before your units can move and make attacks, they will first need to be set up on the battlefield. This most commonly happens when deploying your army for battle, but can happen for other reasons as well. | Whenever a rule instructs you to set up a unit, place its models on the battlefield so that: | - That unit is in coherency (03.03). | - That unit is unengaged (03.04). | - All other requirements and restrictions are met. | If you cannot set up all of the models in a unit, remove that unit from the battlefield and return it to its original position (e.g. in strategic reserves or embarked within a TRANSPORT)"
03. Moving,Set Up,03.02,accordion,03.02.01 - If You Cannot Set Up a Unit,"While having to set up a unit as the result of a move type, if you have to return a unit’s models to their previous positions because it is not possible to set them all up, that unit has not been selected to move. This means it can be selected to move later, so could either attempt another set up or remain stationary (09.04)."
03. Moving,Set Up,03.02,accordion,03.02.02 - Setting Up Large Models,"If a model cannot meet all of its set up restrictions because it is too large, consult the relevant section below: | During Deployment: If a model is so large that its base cannot physically be set up wholly within your deployment zone, it must be set up so that it is touching your battlefield edge. During a turn in which such a large model is set up on the battlefield, that model’s unit cannot do any of the following: | - Make a normal/advance/fall-back/charge move. | - Make any attacks with ranged weapons. | Some large models, typically Aircraft, have wings and other parts that extend significantly beyond their base. Such models can overhang a deployment zone if it is not possible to set them up otherwise, but when setting them up, their base must still be wholly within that deployment zone. | From Strategic Reserves: If a model is so large that its base cannot physically be set up wholly within the distance required of the battlefield edge, it must be set up so that it is touching a battlefield edge. During a turn in which such a large model is set up on the battlefield, that model’s unit cannot do any of the following: | - normal/advance/fall-back/charge move. | - Make any attacks with ranged weapons. | Some large models, typically Aircraft, have wings and other parts that extend significantly beyond their base. Such models can overhang a battlefield edge if it is not possible to set them up otherwise, but when setting them up, they must still be more than 8"" away from all enemy units. | Disembarking from a Transport: When a unit disembarks from a Transport, it must be set up wholly within 3"" of that model. If a disembarking model is so large that it is not possible to set it up wholly within 3"" (typically because it is itself larger than 3"" in all directions), set that model up with its base within 1"" of that Transport’s base (or hull), and not engaged with any enemy units."
03. Moving,Set Up,03.02,accordion,03.02.03 - Redeployments,"When a player uses a rule that lets them redeploy their unit, they remove that unit from the battlefield, then deploy it again using all the normal rules (e.g. if all the models in the redeploying unit have the Infiltrators ability, that unit can be set up using that ability)."
03. Moving,Coherency,03.03,text,,"A unit that contains more than one model must be set up and end any kind of move in coherency. A unit is in coherency while both of the following apply to every model in that unit: | - Within 2"" horizontally and 5"" vertically of at least one other model in that unit. | - Within 9"" horizontally and 5"" vertically of every other modelin that unit. | REGAINING COHERENCY | In the End of Turn step of each player’s turn, if one or more units on the battlefield are not in coherency, those units’ controlling players must remove models from them, one at a time, until they are in coherency again. Models removed in this way are destroyed, but they do not trigger rules that apply when a model is destroyed."
03. Moving,Coherency,03.03,accordion,03.03.01 - What Is Coherency,"Coherency prevents models in the same unit from becoming too separated from each other while on the battlefield, ensuring they are set up and end every kind of move as a single group."
03. Moving,Engagement,03.04,text,,"A model’s engagement range is the area of the battlefield within 2"" horizontally and 5"" vertically of it. | - While a friendly model is within engagement range of one or more enemy models, those models – and the units they belong to – are engaged with each other. | - While a unit contains no engaged models, that unit is unengaged."
03. Moving,Engagement,03.04,accordion,03.04.01 - What Is Engagement,"While opposing models are within each other’s engagement range, they are able to fight in vicious melee, so unless they are seeking to make melee attacks, models should keep out of their foes’ reach."
03. Moving,Engagement,03.04,header,,Coherency
03. Moving,Engagement,03.04,image,,-
03. Moving,Engagement,03.04,text,,"Every model in this unit is within 2"" of at least one other model in its unit, and every model is within 9"" of every other model in its unit. This unit is therefore in ***coherency***."
03. Moving,Engagement,03.04,header,,Engagement
03. Moving,Engagement,03.04,image,,-
03. Moving,Engagement,03.04,text,,"These two units have at least one model within 2"" of the opposing unit, and are therefore ***engaged*** with each other."
Doubles Event Companion,INTRODUCTION,,text,,"This companion is used alongside the Warhammer Event Companion to create the best experiences for all hobbyists playing a Doubles event. A Doubles event is one in which players compete in teams of two, with a team’s armies fighting as a single force against another team’s armies. | The recommendations are presented as follows: | Warhammer Doubles Event Mission Sequence: Adjustments to the steps players would normally follow to generate a mission and prepare the battlefield. | Warhammer Doubles Event Terminology: A description of the terminology used in Doubles events. | Warhammer Doubles Event Core Rules Changes: Adjustments to the Core Rules to allow battles where players can fight alongside a teammate. | For all other recommendations – for example, regarding errata, FAQs and pairing and ranking methodology – please refer to the Warhammer Event Companion. Note that pairing and ranking in a Doubles event is done by team, rather than by player."
Doubles Event Companion,WARHAMMER DOUBLES EVENT MISSION SEQUENCE,,text,,"Before attending a Warhammer Doubles Event, each team – consisting of two players – completes the following step:"
Doubles Event Companion,1. MUSTER ARMIES,,text,,"Muster armies as described in the Warhammer 40,000 app, with the following exceptions: | EPIC HERO units, datasheets that cannot be included more than once in your army, enhancements , and any other ‘once per army’ items cannot be included more than once across both armies within a team. | A particular Upgrade can be included more than once in a player’s army following the usual muster armies rules, but cannot be included in both armies in a team (for example, a team could not include a Genestealer Cults Patriarch more than once, or the same Upgrade in both armies, even if both players have selected the same detachments). | Each team selects one CHARACTER model from either army to be their team’s WARLORD . | Each team selects one Force Disposition card available to either of the armies in that team and records that on their roster. | Designer’s Note: Players within a team can choose to use the same faction keywords or different keywords, and can choose to use the same ***detachments*** or a different selection of ***detachments*** . See the Terminology and Core Rules Changes section for more information about how this affects your team’s armies. | A Warhammer Event battle is then waged by completing the remaining steps below:"
Doubles Event Companion,2.  DETERMINE MISSION,,text,,"Each team finds their opponents’ Force Disposition symbol on their Force Disposition card. The Primary Mission that is listed below that symbol is that team’s Primary Mission, which describes how to score VP."
Doubles Event Companion,3. DETERMINE A LAYOUT,,text,,"Each combination of Primary Missions has three recommended layouts, labelled A, B and C. These can be found in the Warhammer 40,000 app and in the Warhammer Event Companion. As directed by the Warhammer Event organiser, the players either use the layout specified or randomly determine which of these layouts to use."
Doubles Event Companion,4. CREATE THE BATTLEFIELD,,text,,"Missions are played on rectangular battlefields 44"" by 60"" in size. Players set up the terrain areas as shown in the selected layout, then set up terrain features on those terrain areas as shown in the selected layout."
Doubles Event Companion,5. DETERMINE ATTACKER AND DEFENDER,,text,,Players look at the selected layout and agree which edges of the battlefield the players have set up correspond with the Attacker’s and Defender’s battlefield edges labelled on the card. Roll off: the winner decides which team will be the Attacker and which will be the Defender.
Doubles Event Companion,6. SELECT SECONDARY MISSIONS,,text,,"Secondary Mission cards detail additional ways to score VP. Each team now secretly notes down whether they will use Tactical or Fixed Secondary Missions. If using Fixed Missions, they also note down which two Fixed Missions they will use (see below). Players then reveal these decisions."
Doubles Event Companion,FIXED MISSIONS,,text,,"Fixed Missions are those marked with the symbol shown on the left. If your team is using Fixed Missions, display your selected Fixed Mission cards face-up. Fixed Missions cannot be discarded and are active for your team throughout the battle."
Doubles Event Companion,TACTICAL MISSIONS,,text,,"If your team is using Tactical Missions, shuffle your Secondary Mission deck face-down. | At the start of your Command phase, draw two Secondary Missions face-up from your Secondary Missions deck; these Secondary Missions are active for your team. | (Once per battle) At the end of your Command phase, you can spend 1CP to discard one of your active Secondary Mission cards and draw one new Secondary Mission card."
Doubles Event Companion,ACHIEVING SECONDARY MISSIONS,,text,,"At the end of each team’s turn, each team does the following, starting with the team whose turn it is: | First, if your team met the conditions on one or more Secondary Missions, you can gain the VP specified on that card. If you do, and if you are using Tactical Secondary Missions, discard that Secondary Mission – it is achieved. | Then, if it is your turn and you are using Tactical Secondary Missions, you can discard one or more of your active Secondary Missions. If you do, you gain 1CP."
Doubles Event Companion,7. DECLARE BATTLE FORMATIONS,,text,,"Players secretly note down, in order: | Which of their units will start the battle embarked within which TRANSPORTS . | Which of their units will start the battle in strategic reserves . | Players then reveal these decisions."
Doubles Event Companion,8. DEPLOY ARMIES,,text,,"Teams take it in turns to set up their units (excluding those in strategic reserves ) one at a time, wholly within their deployment zone, starting with the Defender. If you set up a TITANIC unit when it is your team's turn to set up a unit, skip your team's next turn to set up a unit. Once your team has finished setting up your units, if your opponents have any units that have not been set up, they set up those units."
Doubles Event Companion,9. REDEPLOY UNITS,,text,,"Some rules let you redeploy certain units after both armies are deployed. Unless otherwise stated, you resolve those rules in this step. Teams alternate resolving any such rules, starting with the Attacker. Units placed in strategic reserves in this step do not count towards the combined points value of your strategic reserves units."
Doubles Event Companion,10. DETERMINE FIRST TURN,,text,,Roll off: the winner takes the first turn.
Doubles Event Companion,11. RESOLVE PRE-BATTLE RULES,,text,,"Teams alternate resolving any pre-battle rules units from their army may have, starting with the team who will take the first turn."
Doubles Event Companion,12. BEGIN THE BATTLE,,text,,"The first battle round begins. The players in a team take their turn together, as if they were a single player."
Doubles Event Companion,13. END THE BATTLE,,text,,"The battle ends after five battle rounds have been completed. Even if your team has no models remaining in your army at the start of your turn, teams continue to play out their turns until the battle ends."
Doubles Event Companion,14. DETERMINE VICTOR,,text,,"Each team scores 10VP if their armies are painted to a Battle Ready standard. At the end of the battle, the team with the most VP is the victor. If the teams are tied, the battle is a draw. The maximum VP that can be scored from each source of VP is listed below. Any VP your team scores in excess of these maximums are ignored. | VP SOURCE | MAXIMUM VP | PRIMARY MISSION | 45VP | Up to 15VP per battle round | SECONDARY MISSIONS | 45VP | Up to 15VP per battle round* | BATTLE READY ARMY | 10VP | * In addition, you can gain a maximum of 20VP per Fixed Secondary Mission card."
Doubles Event Companion,‘CUMULATIVE’ AND ‘OR’ CONDITIONS,,text,,"Some cards include a condition marked as ‘cumulative’ that follows a normal condition. If a player achieves the cumulative condition, they gain the VP for both that and the normal condition. | Some cards include one or more conditions marked ‘or’ that follow a normal condition. A player can only gain VP for one of these conditions or the normal condition."
Doubles Event Companion,LEAVES THE BATTELEFIELD,,text,,"Some cards refer to a unit or units leaving the battlefield. A unit leaves the battlefield if it is destroyed, if it embarks on a TRANSPORT , or if a rule removes that unit from the battlefield (e.g. to place it in strategic reserves )."
Doubles Event Companion,ONE,,text,,"When a card states ‘one’, underlined, it means exactly one, not one or more."
Doubles Event Companion,VP UP TO A LIMIT,,text,,"Some cards award VP up to a limit, e.g. (up to 5VP). In such cases, any VP you score in excess of this limit are ignored."
Doubles Event Companion,WHEN DRAWN,,text,,Some Secondary Mission cards begin with a ‘When Drawn’ section. Note that this section only applies if you are using Tactical Secondary Missions.
Doubles Event Companion,WARHAMMER DOUBLES EVENTS,,text,,Terminology and core rules changes
Doubles Event Companion,TERMINOLOGY,,text,,"Warhammer Doubles Events use the following terminology: | Force: The combined armies of a pair of players. | Unified Force: A force where both armies have all the same faction keywords in common. | For Adeptus Astartes forces to be a unified force , units in one army do not need to have the same Chapter keyword as units in the other army. | Force of Convenience: Any force which is not a unified force . | Designer’s Note: Ignore units included as allies – for example, an IMPERIAL KNIGHTS unit included in another IMPERIUM army – when determining whether a ***force*** is a ***unified force*** or a ***force of convenience*** ."
Doubles Event Companion,CORE RULES CHANGES,,text,,Warhammer Doubles Events use the following Core Rules modifications:
Doubles Event Companion,UNITS AND MODELS 01.02,,text,,"In a unified force , models/units in both armies that make up that force are friendly models/units. | For example, in a unified force with the ADEPTUS ASTARTES faction keyword, units in one army can benefit from the Blessings of the Omnissiah ability of a Techmarine in their teammate’s army. | Otherwise, models/units in your force that are not part of your army are neither friendly nor enemy models/units. | For example, in a force of convenience , units in one army (even one in which units have the IMPERIUM keyword) will not benefit from their teammate’s ability that affects friendly IMPERIUM units."
Doubles Event Companion,GAIN CORE CP 08.02 ,,text,,Each force (rather than each player) gains 1 Command Point (CP). Forces may not generate more than one extra CP per battle round.
Doubles Event Companion,USING STRATAGEMS 15.01,,text,,"A force ’s CP total is shared by both players on the team. Rules limiting the use of stratagems are applied to a force , rather than to each player or army. | For example, a unit in your force can only be the target of one of your force’s stratagems per phase, and use of the Insane Bravery stratagem is limited to once per battle, per force."
Doubles Event Companion,TRANSPORTS 18.00,,text,,"In a unified force , units/models from one army can embark within/begin the battle embarked within a TRANSPORT model from the other army, as long as that unit could normally embark within that TRANSPORT . | For example, in a unified force with the ADEPTUS ASTARTES faction keyword, a Techmarine from one army can embark within/begin the battle embarked within an Impulsor from the other army."
Doubles Event Companion,ARMY AND DETACHMENT RULES,,text,,"In a unified force , the force uses its army rules as if it were a single army. | For example, if a unified force has the DRUKHARI faction keyword, there will be one pain token pool, and the force (rather than each army in the force) will gain pain tokens as described in the Power From Pain rule. | Otherwise, each army within a force uses its own army rules. | In a unified force , if both players have chosen the same detachments , the force uses its detachment rules as if it were a single army. | Otherwise, each player’s detachment rules can only affect enemy units and units in their own army (even in a unified force ). | For example, if the players of a unified force with the ADEPTUS ASTARTES faction keyword have selected different detachments , one player could not target the other player’s units with a stratagem (even a stratagem that targets a friendly ADEPTUS ASTARTES unit), or grant them the benefit of any detachment rules (even those that affect all friendly ADEPTUS ASTARTES units)."
Doubles Event Companion,POINT RESTRICTIONS,,text,,"Rules that have restrictions based on the size of a player's army are based on the points limit of the army of that individual player. | For example, if a player wishes to bring Chaos Daemons as allies, doing so would be based on the points limit of that player's army within their force ."
Mission Sequence,1. Muster Armies,,text,,"Muster armies as described in the Warhammer 40,000 app."
Mission Sequence,2. Determine Mission,,text,,"Each player secretly chooses one Force Disposition card available to them (as determined when mustering armies), then together you reveal your chosen Force Disposition cards. | Find your opponent’s Force Disposition symbol on your Force Disposition card. The Primary Mission that is listed below that symbol is your Primary Mission, which describes how to score VP. | **Designer’s Note:** *If you both have the same Force Disposition card, you will have the same Primary Mission. There are two copies of each of these cards, so that you can have one.*"
Mission Sequence,3. Determine Deployment,,text,,Shuffle the Deployment cards face-down and draw one. This describes where to place **terrain objectives** and where you can deploy your armies.
Mission Sequence,Optional Step: Twist,,text,,"If both players want to play with an additional rule that can dramatically alter the battle, choose one Twist card. Both players must agree on which Twist card to use."
Mission Sequence,4. Create the Battlefield,,text,,"Missions are played on rectangular battlefields 44"" by 60"" in size. | We recommend using the suggested battlefield layouts in the Warhammer 40,000 app. These layouts were designed for Chapter Approved battles. | If you wish to create your own layout, use the following instructions."
Mission Sequence,4. Create the Battlefield,,text,,"**Roll one D6.** On a 1-5, use the single **central objective** point as shown at the centre of the Deployment card. On a 6, instead use two **central** **objective** points: locate these 6"" either side of the single central objective point, along the dashed line used to separate the players’ territories. | Roll off, then take turns placing terrain features, starting with the winner. | ▪ For each objective point, set up one **terrain feature** so that it covers that point on the battlefield. A **terrain feature** set up in this way is a **terrain** **objective**. | ▪ Then set up any remaining **terrain features**."
Mission Sequence,5. Determine Attacker and Defender,,text,,Players look at the Deployment card drawn and agree which edges of your battlefield correspond with the Attacker’s and Defender’s battlefield edges labelled on the card. | Roll off: the winner decides who will be the Attacker and who will be the Defender.
Mission Sequence,6. Select Secondary Missions,,text,,"Secondary Mission cards detail additional ways to score VP. There is a deck for the Attacker and a deck for the Defender: the cards in each deck are identical. | **Designer’s Note:** *If you or your opponent are new to Warhammer 40,000, you can play without Secondary Missions for a simpler experience while you’re starting out. For other ways to use this pack, including using it in tournaments, see the Warhammer 40,000 app.* | Players now secretly note down whether they will use Tactical or Fixed Secondary Missions. If using Fixed Missions, they also note down which two Fixed Missions they will use (see below). Players then reveal these decisions."
Mission Sequence,Fixed Secondary Missions,,text,,"Fixed Missions are those marked with the symbol shown below. If you are using Fixed Missions, display your selected Fixed Mission cards face-up. Fixed Missions cannot be discarded and are active for you throughout the battle."
Mission Sequence,Tactical Secondary Missions,,text,,"If you are using Tactical Missions, shuffle your Secondary Mission deck face-down. | ▪ At the start of your Command phase, draw two Secondary Missions face-up from your Secondary Missions deck; these Secondary Missions are active for you. | ▪(Once per battle) At the end of your Command phase, you can spend 1CP to discard one of your active Secondary Mission cards and draw one new Secondary Mission card."
Mission Sequence,Achieving Secondary Missions,,text,,"At the end of each player’s turn, each player does the following, starting with the player whose turn it is: | ▪First, if you met the conditions on one or more Secondary Missions, you can gain the VP specified on that card. If you do, and if you are using Tactical Secondary Missions, discard that Secondary Mission – it is achieved. | ▪Then, if it is your turn and you are using Tactical Secondary Missions, you can discard one or more of your active Secondary Missions. If you do, you gain 1CP."
Mission Sequence,7. Declare Battle Formations,,text,,"Players secretly note down, in order: | 1.  Which of their units will start the battle embarked within which **TRANSPORTS**. | 2.  Which of their units will start the battle in **strategic reserves**. | Players then reveal these decisions."
Mission Sequence,8. Deploy Armies,,text,,"Players take it in turns to set up their units (excluding those in **strategic reserves**) one at a time, wholly within their deployment zone, starting with the Defender. If you set up a **TITANIC** unit when it is your turn to set up a unit, skip your next turn to set up a unit. Once you have finished setting up your units, if your opponent has any units that have not been set up, they set up those units."
Mission Sequence,9. Redeploy Units,,text,,"Some rules let you redeploy certain units after both armies are deployed. Unless otherwise stated, you resolve those rules in this step. Players alternate resolving any such rules, starting with the Attacker. Units placed in **strategic reserves** in this step do not count towards the combined points value of your **strategic reserves** units."
Mission Sequence,10. Determine First Turn,,text,,Roll off: the winner takes the first turn.
Mission Sequence,11. Resolve Pre-Battle Rules,,text,,"Players alternate resolving any pre-battle rules units from their army may have, starting with the player who will take the first turn."
Mission Sequence,12. Begin the Battle,,text,,The first battle round begins.
Mission Sequence,13. End the Battle,,text,,"The battle ends after five battle rounds have been completed. Even if you have no models remaining in your army at the start of your turn, players continue to play out their turns until the battle ends."
Mission Sequence,14. Determine Victor,,text,,"Each player scores 10VP if their army is painted to a Battle Ready standard. At the end of the battle, the player with the most VP is the victor. If the players are tied, the battle is a draw. The maximum VP that can be scored from each source of VP is listed below. Any VP you score in excess of these maximums are ignored."
Mission Sequence,14. Determine Victor,,header,,Victory Points
Mission Sequence,14. Determine Victor,,text,,"**VP Source** - **Maximum VP** | Primary Mission - 45VP Up to 15VP per Battle Round | Secondary Missions - 45VP Up to 15VP per Battle Round* | Battle Ready Armies - 10VP | **In addition, you can gain a maximum of 20VP per Fixed Secondary Mission card.*"
04. Making Attacks,Making Attacks,04.00,text,,"During the battle, your units will shoot at and fight the enemy, making attacks with their weapons each time they do so. This section explains how to make attacks with your models. | Each time a unit shoots or fights, the active player follows these steps: | 1. SELECT WEAPONS (04.01) | 2. SELECT TARGETS (04.02) | 3. RESOLVE ATTACKS (04.03)"
04. Making Attacks,Select Weapons,04.01,text,,"For each model in the attacking unit, select which weapons that model will make attacks with. Models make ranged attacks with ranged weapons, and make melee attacks with melee weapons. | WHILE SHOOTING | You can select one or more ranged weapons that model has. | WHILE FIGHTING | You must select one melee weapon that model has."
04. Making Attacks,Select Weapons,04.01,accordion,04.01.01 - Models Without Ranged/Melee Weapons,"A model that does not have any ranged weapons cannot make ranged attacks, and a model that does not have any melee weapons cannot make melee attacks."
04. Making Attacks,Select Weapons,04.01,accordion,04.01.02 - Sidearms,"Some models are equipped with [CLOSE-QUARTERS] weapons in addition to other firearms. Such models can be an exception to the rules in this section, as you may not be able to select all of their weapons to make attacks with."
04. Making Attacks,Select Weapons,04.01,accordion,04.01.03 - Multiple Weapon Profiles,"In the select weapons step(4.01), if a selected weapon has more than one profile, then the controlling player must also select one of those profiles. The selected profile is then used in the Resolve Attacks step (04.03). | Some of these profiles are known as Hunter profiles. Hunter profiles can only target units with the specified keywords. | Note that if a unit is equipped with more than one such weapon, a different profile can be selected for each model within that unit."
04. Making Attacks,Select Weapons,04.01,accordion,04.01.04 - Attack Characteristics and Abilities,"When making an attack, that attack is considered to have the same characteristics and abilities as the weapon making that attack. | If any modifiers or abilities apply to an attack, those changes apply to the weapon making that attack until that unit's attack sequence and all effects of those abilities (e.g. [Hazardous]) have been resolved. | Rules that apply to a weapon that modify rolls apply to the attacks made with that weapon."
04. Making Attacks,Select Weapons,04.01,accordion,04.01.05 - Selected to Attack,"Some rules use the term selected to attack. If a unit is selected to fight, selected to shoot or chosen to make attacks, that unit is selected to attack."
04. Making Attacks,Select Targets,04.02,text,,"For each weapon selected: | WHILE SHOOTING | Select one enemy unit to be the target of that weapon. Unless otherwise stated, each target must be: | - Visible to the model that has that weapon (06.01). | - Within range of that weapon. | - Unengaged. | WHILE FIGHTING | Select one or more enemy units to be the targets of that weapon: | - Each target must be engaged with the model that has that weapon. | - You cannot select more targets than that weapon’s A characteristic."
04. Making Attacks,Select Targets,04.02,accordion,04.02.01 - Selecting Targets,"When shooting or fighting, you can select different targets for each weapon. If you cannot select a target for a weapon, or if you choose not to select a target for a ranged weapon, the model with that weapon will not make attacks with it."
04. Making Attacks,Select Targets,04.02,accordion,04.02.02 - Against An Attack,"Rules that are triggered 'against' certain attacks are triggered after the attacking unit has completed the Select Targets step (04.02), provided all other qualifiers are met (e.g. concerning the characteristics of the attacking unit or its weapons). | Rules that are triggered when an attack is 'allocated' to a unit are triggered in step 1 of the Inflict Damage step (05.04)."
04. Making Attacks,Select Targets,04.02,accordion,04.02.03 - Single Target,"When a model or unit attacks with one or more weapons, if all of the attacks made with those weapons target the same unit, that model or unit is said to be shooting at, fighting or targeting a single target."
04. Making Attacks,Resolve Attacks,04.03,text,,"Resolve attacks using the following sequence: | 1.  Select Enemy Unit: Select one of the enemy units targeted by one or more weapons. | 2.  Gather Attack Dice: Select one weapon targeting that unit that has not yet been used to make attacks against it, and gather a number of D6 equal to that weapon’s A characteristic. These are attack dice – each one represents one attack being made by an attacking model with that weapon. | If one or more other weapons targeting that unit make identical attacks (04.03.01) to the selected weapon and those weapons have not yet been used to make attacks against that target, they do so now and you gather those weapons’ attack dice as well (e.g. for three weapons making identical attacks, each with an A characteristic of 2, gather a total of six D6). | 3.  Resolve Attack Dice: Resolve the attack sequence (05) for all of the attack dice you just gathered. | 4.  Other Attacks: Follow the first of the instructions below that applies: | - If there are any weapons targeting the same unit that have not yet been used to make attacks, return to the Gather Attack Dice step. | - Otherwise, if there are any weapons with unresolved attacks targeting a different unit, return to the Select Enemy Unit step. | - Otherwise, if all weapons have been used to make all of their attacks, this sequence ends and the attacking unit’s attacks have been resolved."
04. Making Attacks,Resolve Attacks,04.03,accordion,04.03.01 - Identical Attacks,"Identical attacks are those that have the same BS/WS, S, AP and D characteristics, and which are affected by the same applicable abilities and rules."
04. Making Attacks,Resolve Attacks,04.03,accordion,04.03.02 - Splitting Melee Attacks,"While selecting targets, if you select more than one unit as the target of a melee weapon, you must split that weapon’s attacks between those target units. To do so, declare how many of that weapon’s attacks will be made against each unit (you must declare at least one attack per unit targeted). | In the Gather Attack Dice step, for each weapon that is splitting its attacks, only gather a number of attack dice for that weapon equal to the number of attacks you declared would be made against that target with that weapon."
